GEOID|ST|NAME|TZ
01001|AL|Autauga County|America/Chicago
01003|AL|Baldwin County|America/Chicago
01005|AL|Barbour County|America/Chicago
01007|AL|Bibb County|America/Chicago
01009|AL|Blount County|America/Chicago
01011|AL|Bullock County|America/Chicago
01013|AL|Butler County|America/Chicago
01015|AL|Calhoun County|America/Chicago
01017|AL|Chambers County|America/Chicago
01019|AL|Cherokee County|America/Chicago
01021|AL|Chilton County|America/Chicago
01023|AL|Choctaw County|America/Chicago
01025|AL|Clarke County|America/Chicago
01027|AL|Clay County|America/Chicago
01029|AL|Cleburne County|America/Chicago
01031|AL|Coffee County|America/Chicago
01033|AL|Colbert County|America/Chicago
01035|AL|Conecuh County|America/Chicago
01037|AL|Coosa County|America/Chicago
01039|AL|Covington County|America/Chicago
01041|AL|Crenshaw County|America/Chicago
01043|AL|Cullman County|America/Chicago
01045|AL|Dale County|America/Chicago
01047|AL|Dallas County|America/Chicago
01049|AL|DeKalb County|America/Chicago
01051|AL|Elmore County|America/Chicago
01053|AL|Escambia County|America/Chicago
01055|AL|Etowah County|America/Chicago
01057|AL|Fayette County|America/Chicago
01059|AL|Franklin County|America/Chicago
01061|AL|Geneva County|America/Chicago
01063|AL|Greene County|America/Chicago
01065|AL|Hale County|America/Chicago
01067|AL|Henry County|America/Chicago
01069|AL|Houston County|America/Chicago
01071|AL|Jackson County|America/Chicago
01073|AL|Jefferson County|America/Chicago
01075|AL|Lamar County|America/Chicago
01077|AL|Lauderdale County|America/Chicago
01079|AL|Lawrence County|America/Chicago
01081|AL|Lee County|America/Chicago
01083|AL|Limestone County|America/Chicago
01085|AL|Lowndes County|America/Chicago
01087|AL|Macon County|America/Chicago
01089|AL|Madison County|America/Chicago
01091|AL|Marengo County|America/Chicago
01093|AL|Marion County|America/Chicago
01095|AL|Marshall County|America/Chicago
01097|AL|Mobile County|America/Chicago
01099|AL|Monroe County|America/Chicago
01101|AL|Montgomery County|America/Chicago
01103|AL|Morgan County|America/Chicago
01105|AL|Perry County|America/Chicago
01107|AL|Pickens County|America/Chicago
01109|AL|Pike County|America/Chicago
01111|AL|Randolph County|America/Chicago
01113|AL|Russell County|America/Chicago
01115|AL|St. Clair County|America/Chicago
01117|AL|Shelby County|America/Chicago
01119|AL|Sumter County|America/Chicago
01121|AL|Talladega County|America/Chicago
01123|AL|Tallapoosa County|America/Chicago
01125|AL|Tuscaloosa County|America/Chicago
01127|AL|Walker County|America/Chicago
01129|AL|Washington County|America/Chicago
01131|AL|Wilcox County|America/Chicago
01133|AL|Winston County|America/Chicago
02013|AK|Aleutians East Borough|America/Anchorage
02016|AK|Aleutians West Census Area|America/Adak
02020|AK|Anchorage Municipality|America/Anchorage
02050|AK|Bethel Census Area|America/Anchorage
02060|AK|Bristol Bay Borough|America/Anchorage
02063|AK|Chugach Census Area|America/Anchorage
02066|AK|Copper River Census Area|America/Anchorage
02068|AK|Denali Borough|America/Anchorage
02070|AK|Dillingham Census Area|America/Anchorage
02090|AK|Fairbanks North Star Borough|America/Anchorage
02100|AK|Haines Borough|America/Juneau
02105|AK|Hoonah-Angoon Census Area|America/Juneau
02110|AK|Juneau City and Borough|America/Juneau
02122|AK|Kenai Peninsula Borough|America/Anchorage
02130|AK|Ketchikan Gateway Borough|America/Sitka
02150|AK|Kodiak Island Borough|America/Anchorage
02158|AK|Kusilvak Census Area|America/Nome
02164|AK|Lake and Peninsula Borough|America/Anchorage
02170|AK|Matanuska-Susitna Borough|America/Anchorage
02180|AK|Nome Census Area|America/Nome
02185|AK|North Slope Borough|America/Anchorage
02188|AK|Northwest Arctic Borough|America/Anchorage
02195|AK|Petersburg Borough|America/Sitka
02198|AK|Prince of Wales-Hyder Census Area|America/Sitka
02220|AK|Sitka City and Borough|America/Sitka
02230|AK|Skagway Municipality|America/Juneau
